$ QA_DATASET=voc VOC_POOL=<voc-2012/train> python3 qa_protocol.py artifacts_voc/best_ema_calibrated.pth --out artifacts_voc/protocol.json
pool 5717 images, 20 classes, 224px
metric: alpha=0.05 beta=0.05 p_exact=0.25 threshold=0.5
[pool] n=5717  good=2884  acc 0.8569
[A1 1/3] n=800  good=415  acc 0.8688
[A1 2/3] n=800  good=435  acc 0.8762
[A1 3/3] n=800  good=395  acc 0.8750
[A2 1/3] n=800  good=377  acc 0.5413
[A2 2/3] n=800  good=409  acc 0.5687
[A2 3/3] n=800  good=386  acc 0.5300
[A3 1/3] n=800  good=376  acc 0.9325
[A3 2/3] n=800  good=386  acc 0.9513
[A3 3/3] n=800  good=408  acc 0.9313
[A1A2 1/3] n=800  good=403  acc 0.8888
[A1A2 2/3] n=800  good=390  acc 0.8662
[A1A2 3/3] n=800  good=390  acc 0.8888
[A1A3 1/3] n=800  good=398  acc 0.9437
[A1A3 2/3] n=800  good=394  acc 0.9363
[A1A3 3/3] n=800  good=406  acc 0.9400
[A2A3 1/3] n=800  good=410  acc 0.9313
[A2A3 2/3] n=800  good=408  acc 0.9413
[A2A3 3/3] n=800  good=399  acc 0.9475
[A1A2A3 1/3] n=800  good=432  acc 0.9500
[A1A2A3 2/3] n=800  good=390  acc 0.9287
[A1A2A3 3/3] n=800  good=414  acc 0.9313
[B1 1/3] n=800  good=414  acc 0.9350
[B1 2/3] n=800  good=408  acc 0.9263
[B1 3/3] n=800  good=396  acc 0.9150
[B2 1/3] n=800  good=403  acc 0.9587
[B2 2/3] n=800  good=406  acc 0.9637
[B2 3/3] n=800  good=398  acc 0.9725
[B1B2 1/3] n=800  good=403  acc 0.9613
[B1B2 2/3] n=800  good=405  acc 0.9712
[B1B2 3/3] n=800  good=396  acc 0.9675
[A1B1 1/3] n=800  good=404  acc 0.9625
[A1B1 2/3] n=800  good=416  acc 0.9637
[A1B1 3/3] n=800  good=397  acc 0.9500
[A2B1 1/3] n=800  good=401  acc 0.9287
[A2B1 2/3] n=800  good=398  acc 0.9425
[A2B1 3/3] n=800  good=416  acc 0.9425
[A3B1 1/3] n=800  good=382  acc 0.9563
[A3B1 2/3] n=800  good=406  acc 0.9563
[A3B1 3/3] n=800  good=439  acc 0.9650
[A1A2B1 1/3] n=800  good=399  acc 0.9600
[A1A2B1 2/3] n=800  good=377  acc 0.9637
[A1A2B1 3/3] n=800  good=376  acc 0.9663
[A1A3B1 1/3] n=800  good=416  acc 0.9750
[A1A3B1 2/3] n=800  good=383  acc 0.9600
[A1A3B1 3/3] n=800  good=394  acc 0.9587
[A2A3B1 1/3] n=800  good=406  acc 0.9700
[A2A3B1 2/3] n=800  good=384  acc 0.9738
[A2A3B1 3/3] n=800  good=376  acc 0.9725
[A1A2A3B1 1/3] n=800  good=376  acc 0.9575
[A1A2A3B1 2/3] n=800  good=383  acc 0.9738
[A1A2A3B1 3/3] n=800  good=427  acc 0.9663
[A1B2 1/3] n=800  good=412  acc 0.9675
[A1B2 2/3] n=800  good=402  acc 0.9650
[A1B2 3/3] n=800  good=389  acc 0.9712
[A2B2 1/3] n=800  good=420  acc 0.9637
[A2B2 2/3] n=800  good=399  acc 0.9600
[A2B2 3/3] n=800  good=392  acc 0.9637
[A3B2 1/3] n=800  good=397  acc 0.9663
[A3B2 2/3] n=800  good=387  acc 0.9688
[A3B2 3/3] n=800  good=377  acc 0.9725
[A1A2B2 1/3] n=800  good=405  acc 0.9800
[A1A2B2 2/3] n=800  good=379  acc 0.9688
[A1A2B2 3/3] n=800  good=400  acc 0.9688
[A1A3B2 1/3] n=800  good=418  acc 0.9550
[A1A3B2 2/3] n=800  good=414  acc 0.9725
[A1A3B2 3/3] n=800  good=413  acc 0.9650
[A2A3B2 1/3] n=800  good=394  acc 0.9613
[A2A3B2 2/3] n=800  good=410  acc 0.9750
[A2A3B2 3/3] n=800  good=398  acc 0.9712
[A1A2A3B2 1/3] n=800  good=390  acc 0.9688
[A1A2A3B2 2/3] n=800  good=397  acc 0.9625
[A1A2A3B2 3/3] n=800  good=389  acc 0.9663
[A1B1B2 1/3] n=800  good=389  acc 0.9750
[A1B1B2 2/3] n=800  good=396  acc 0.9788
[A1B1B2 3/3] n=800  good=427  acc 0.9563
[A2B1B2 1/3] n=800  good=401  acc 0.9587
[A2B1B2 2/3] n=800  good=395  acc 0.9613
[A2B1B2 3/3] n=800  good=411  acc 0.9613
[A3B1B2 1/3] n=800  good=417  acc 0.9875
[A3B1B2 2/3] n=800  good=416  acc 0.9637
[A3B1B2 3/3] n=800  good=391  acc 0.9675
[A1A2B1B2 1/3] n=800  good=378  acc 0.9575
[A1A2B1B2 2/3] n=800  good=381  acc 0.9688
[A1A2B1B2 3/3] n=800  good=397  acc 0.9738
[A1A3B1B2 1/3] n=800  good=401  acc 0.9600
[A1A3B1B2 2/3] n=800  good=384  acc 0.9738
[A1A3B1B2 3/3] n=800  good=409  acc 0.9738
[A2A3B1B2 1/3] n=800  good=391  acc 0.9688
[A2A3B1B2 2/3] n=800  good=396  acc 0.9700
[A2A3B1B2 3/3] n=800  good=377  acc 0.9762
[A1A2A3B1B2 1/3] n=800  good=401  acc 0.9625
[A1A2A3B1B2 2/3] n=800  good=396  acc 0.9775
[A1A2A3B1B2 3/3] n=800  good=414  acc 0.9700

pool acc 0.8569  pool AUC 0.9157  combination mean 0.9415
saved artifacts_voc/protocol.json
